Pais,Nome da receita,Imagem,Descrição,Link da receita
Brasil,Baião de dois,https://s2-receitas.glbimg.com/I05bUaqi4-wWPT0R0whtkQy512k=/0x0:1920x1080/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2022/y/q/Tc9638TSSSJ2ljAJaUzw/baiao-de-dois-simples.jpg,"Baião de dois é um prato típico brasileiro e consumido, principalmente, na região Nordeste. É considerado uma verdadeira explosão de sabores, já que mistura na mesma receita: arroz, feijão-fradinho, diversos tipos de carnes e é finalizado com queijo coalho",https://receitas.globo.com/tipos-de-prato/acompanhamentos/baiao-de-dois-facil-4e39c8c1c63e565a40000990.ghtml
Canadá,Poutine,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2026/m/1/4G5pRaTKAABAdFr64DtA/poutine-2-.jpg,"Popular no Canadá, o Poutine combina batata frita, molho de carne e queijo derretido: uma mistura simples e cheia de sabor. A ideia é que o molho de carne seja servido quente e sirva para derreter o queijo, criando uma textura cremosa. É uma ótima opção de petisco e fácil de fazer.",https://receitas.globo.com/receitas-da-tv/mais-voce/poutine.ghtml
Estados Unidos,Mac and cheese,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/2/G/koCqhUTiagSo7RsGuodg/mac-and-cheese.jpg,"O Mac and cheese ou macarrão com queijo, é uma das receitas mais populares dos Estados Unidos. Além de saboroso, é um prato bem fácil de fazer. O grande diferencial desta receita está no cozimento do macarrão, que ocorre quando levado ao forno junto com o molho de queijo",https://receitas.globo.com/receitas-da-tv/mais-voce/mac-and-cheese-macarrao-com-queijo.ghtml
México,Guacamole,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2025/T/Z/teKsjORUA7HGEtaPN8Ew/guacamole-ana-maria.jpg,"O Guacamole é um prato tradicional da culinária mexicana que serve de ótimo aperitivo. A base da receita é o avocado, mas que também pode ser substituído pelo abacate. O avocado é amassado e misturado com outros ingredientes essenciais, como cebola roxa e tomate. Outros temperos também dão um gosto especial como pimenta e coentro. Pode ser servido com nachos, torradas ou tacos.",https://receitas.globo.com/tipos-de-prato/entradas/guacamole-da-laura-miranda.ghtml
África do Sul,Bobotie,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2024/m/7/Ilk4i3RSKuAG9zy3OkSA/bobotie.jpg,Bobotie é um prato típico da culinária da África do Sul. A receita consiste em um bolo de carne moída feito com pão que combina o doce da uva-passa com os sabores marcante de damasco e amêndoa.,https://receitas.globo.com/tipos-de-prato/carnes/bobotie-prato-principal-de-carne-sul-africana-4d51528f52e0b252bc00eea8.ghtml
Alemanha,Goulash,https://s2-receitas.glbimg.com/MOj-WF9j39n1YOOQyhpN42xRAvc=/0x0:620x385/984x0/smart/filters:strip_icc()/g.glbimg.com/og/gs/gsat5/f/thumbs/materia/2015/03/25/Goulash.jpg,"Apesar de ter origem húngara, o Goulash se tornou um prato bastante popular na Alemanha com o passar dos anos. Em resumo, trata-se de um ensopado de carne. Para o seu caldo suculento, o ideal é cortar a carne em pequenos cubos e acrescentar bastante cebola e páprica doce. Na maioria dos casos, é servido junto com macarrão ou batatas.",https://receitas.globo.com/receitas-da-tv/tempero-de-familia/goulash-receita-alema-de-ensopado-gnt.ghtml
Arábia Saudita,Arroz de lentilha com cebola frita,https://s2-receitas.glbimg.com/ODdxC2cpMLg8gMXXF0aZTsibWiE=/0x0:984x656/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2020/P/U/ohRKWuTnidiPhfdcbEag/arroz-de-lentilha-com-cebola-frita.jpg,"O arroz com lentilha e cebola frita, também conhecido como Mjadra, é um prato bastante popular na cozinha árabe. E o grande segredo dessa receita está no uso da água do cozimento da lentilha no preparo do arroz, trazendo ainda mais sabor para o grão. E a cebola frita, além de sabor, traz uma crocância especial à receita.",https://receitas.globo.com/receitas-da-tv/e-de-casa/arroz-de-lentilha-com-cebola-frita.ghtml
Argélia,Couscous Royal,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2026/F/k/KiKxtlQAa2DpEwMpuwpw/cuscuz-argelino.jpg,"O Couscous Royal é uma versão festiva do tradicional cuscuz argelino. O prato é preparado com sêmola de trigo cozida no vapor e servido com diferentes tipos de carne, como cordeiro e frango. A receita também acompanha legumes e um caldo com especiarias. Em muitas ocasiões é servido em celebrações e reuniões familiares.",https://receitas.globo.com/receitas-da-tv/mais-voce/couscous-royal-4d50741952e0b252bc0013d7.ghtml
Argentina,Parrilla,https://s2-receitas.glbimg.com/Q2fkUXQEHNO6yAw7S9tGBxVW870=/0x0:1242x700/984x0/smart/filters:strip_icc()/g.glbimg.com/og/gs/gsat5/f/thumbs/materia/2016/09/14/parrilla_argentina_-_thumb.jpg,"Apesar do churrasco ser bastante comum no Brasil, na Argentina ele se destaca por conta do seu diferente método de preparo. Na Parrilla, a carne é assada de maneira indireta pelo calor. O fogo é feito em uma câmara lateral e apenas a sua brasa é usada para queimar a carne. Com isso, o sabor original da carne é preservado, além de deixar o corte mais suculento.",https://receitas.globo.com/receitas-da-tv/tempero-de-familia/como-fazer-parrilla-aprenda-preparar-o-tipico-churrasco-argentino-gnt.ghtml
Austrália,Caramel slice,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2022/p/B/A9rdaARLiI9dUvX1RMvQ/7t9a4336.jpg,"Caramel slice é uma sobremesa popular na Austrália, com recheio de caramelo e cobertura de chocolate. Porém, o diferencial está em sua massa, que leva açúcar mascavo, coco ralado, farinha e manteiga;",https://receitas.globo.com/receitas-da-tv/que-seja-doce/caramel-slice-gnt.ghtml
